datetime,storage_value,elev,avgt,pcpn,day_since_pcpn,storage-1,storage-2,storage-3,storage-4,storage-5,storage-6,storage-7,storage-8,storage-9,storage-10,storage-11,storage-12,storage-13,storage-14
2010-01-01,36120.0,590.92,53.9,0.0,1,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0
2010-01-02,36120.0,590.93,55.9,0.0,2,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0,36120.0
2010-01-03,36140.0,590.95,58.9,0.0,3,36120.0,36120.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0
2010-01-04,36140.0,590.96,60.2,0.0,4,36140.0,36120.0,36120.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0
2010-01-05,36140.0,590.95,58.2,0.0,5,36140.0,36140.0,36120.0,36120.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0
2010-01-06,36140.0,590.96,57.9,0.0,6,36140.0,36140.0,36140.0,36120.0,36120.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0,36140.0
2010-01-07,36150.0,590.97,56.4,0.0,7,36140.0,36140.0,36140.0,36140.0,36120.0,36120.0,36150.0,36150.0,36150.0,36150.0,36150.0,36150.0,36150.0,36150.0
2010-01-08,36160.0,590.98,55.9,0.0,8,36150.0,36140.0,36140.0,36140.0,36140.0,36120.0,36120.0,36160.0,36160.0,36160.0,36160.0,36160.0,36160.0,36160.0
2010-01-09,36170.0,590.99,61.4,0.0,9,36160.0,36150.0,36140.0,36140.0,36140.0,36140.0,36120.0,36120.0,36170.0,36170.0,36170.0,36170.0,36170.0,36170.0
2010-01-10,36170.0,591.0,60.9,0.0,10,36170.0,36160.0,36150.0,36140.0,36140.0,36140.0,36140.0,36120.0,36120.0,36170.0,36170.0,36170.0,36170.0,36170.0
2010-01-11,36190.0,591.02,60.0,0.0,11,36170.0,36170.0,36160.0,36150.0,36140.0,36140.0,36140.0,36140.0,36120.0,36120.0,36190.0,36190.0,36190.0,36190.0
2010-01-12,36190.0,591.02,61.0,0.0,12,36190.0,36170.0,36170.0,36160.0,36150.0,36140.0,36140.0,36140.0,36140.0,36120.0,36120.0,36190.0,36190.0,36190.0
2010-01-13,36200.0,591.04,57.2,0.0,13,36190.0,36190.0,36170.0,36170.0,36160.0,36150.0,36140.0,36140.0,36140.0,36140.0,36120.0,36120.0,36200.0,36200.0
2010-01-14,36210.0,591.05,51.1,0.0,14,36200.0,36190.0,36190.0,36170.0,36170.0,36160.0,36150.0,36140.0,36140.0,36140.0,36140.0,36120.0,36120.0,36210.0
2010-01-15,36220.0,591.07,53.9,0.0,15,36210.0,36200.0,36190.0,36190.0,36170.0,36170.0,36160.0,36150.0,36140.0,36140.0,36140.0,36140.0,36120.0,36120.0
2010-01-16,36230.0,591.08,57.6,0.0,16,36220.0,36210.0,36200.0,36190.0,36190.0,36170.0,36170.0,36160.0,36150.0,36140.0,36140.0,36140.0,36140.0,36120.0
2010-01-17,36240.0,591.1,55.5,0.0,17,36230.0,36220.0,36210.0,36200.0,36190.0,36190.0,36170.0,36170.0,36160.0,36150.0,36140.0,36140.0,36140.0,36140.0
2010-01-18,36370.0,591.29,53.3,0.03,0,36240.0,36230.0,36220.0,36210.0,36200.0,36190.0,36190.0,36170.0,36170.0,36160.0,36150.0,36140.0,36140.0,36140.0
2010-01-19,36480.0,591.44,51.2,1.15,0,36370.0,36240.0,36230.0,36220.0,36210.0,36200.0,36190.0,36190.0,36170.0,36170.0,36160.0,36150.0,36140.0,36140.0
2010-01-20,36800.0,591.9,50.4,0.74,0,36480.0,36370.0,36240.0,36230.0,36220.0,36210.0,36200.0,36190.0,36190.0,36170.0,36170.0,36160.0,36150.0,36140.0
2010-01-21,37740.0,593.21,52.0,1.34,0,36800.0,36480.0,36370.0,36240.0,36230.0,36220.0,36210.0,36200.0,36190.0,36190.0,36170.0,36170.0,36160.0,36150.0
2010-01-22,38210.0,593.86,52.8,1.41,0,37740.0,36800.0,36480.0,36370.0,36240.0,36230.0,36220.0,36210.0,36200.0,36190.0,36190.0,36170.0,36170.0,36160.0
